Date,OrderID,OrderQty,Sales
07/01/2006,43659,1,28.8404
07/01/2006,43659,1,2024.994
07/01/2006,43659,1,2039.994
07/01/2006,43659,2,10.373
07/01/2006,43659,2,4079.988
07/01/2006,43659,3,86.5212
07/01/2006,43659,3,6074.982
07/01/2006,43659,4,80.746
07/01/2006,43659,6,34.2
07/01/2006,43660,1,419.4589
07/01/2006,43660,1,874.794
07/01/2006,43661,1,714.7043
07/01/2006,43661,1,809.76
07/01/2006,43661,2,40.373
07/01/2006,43661,2,57.6808
07/01/2006,43661,2,1429.4086
07/01/2006,43661,2,1445.1898
07/01/2006,43661,2,1637.4
07/01/2006,43661,2,4049.988
07/01/2006,43661,2,4079.988
07/01/2006,43661,3,6074.982
07/01/2006,43661,4,20.746
07/01/2006,43661,4,115.3616
07/01/2006,43661,4,8099.976
07/01/2006,43661,5,100.9325
07/01/2006,43662,1,178.5808
07/01/2006,43662,1,183.9382
07/01/2006,43662,1,356.898
07/01/2006,43662,1,874.794
07/01/2006,43662,1,2146.962
07/01/2006,43662,2,367.8764
07/01/2006,43662,2,838.9178
07/01/2006,43662,3,535.7424
07/01/2006,43662,3,551.8146
07/01/2006,43662,3,1258.3767
07/01/2006,43662,4,3499.176
07/01/2006,43662,5,2097.2945
07/01/2006,43662,6,5248.764
07/01/2006,43663,1,419.4589
07/01/2006,43664,1,28.8404
07/01/2006,43664,1,2024.994
07/01/2006,43664,1,2039.994
07/01/2006,43664,2,4049.988
07/01/2006,43664,3,6119.982
07/01/2006,43664,4,8099.976
07/01/2006,43665,1,20.1865
07/01/2006,43665,1,2024.994
07/01/2006,43665,1,2039.994
07/01/2006,43665,2,10.373
07/01/2006,43665,2,40.373
07/01/2006,43665,2,57.6808
07/01/2006,43665,2,4049.988
07/01/2006,43665,6,34.2
07/01/2006,43666,1,356.898
07/01/2006,43666,1,419.4589
07/01/2006,43666,1,874.794
07/01/2006,43666,1,2146.962
07/01/2006,43666,2,838.9178
07/01/2006,43667,1,2024.994
07/01/2006,43667,1,2039.994
07/01/2006,43667,3,17.1
07/01/2006,43668,1,20.1865
07/01/2006,43668,1,28.8404
07/01/2006,43668,2,40.373
07/01/2006,43668,2,367.8764
07/01/2006,43668,2,838.9178
07/01/2006,43668,2,1749.588
07/01/2006,43668,2,4293.924
07/01/2006,43668,3,535.7424
07/01/2006,43668,3,551.8146
07/01/2006,43668,3,1070.694
07/01/2006,43668,3,1258.3767
07/01/2006,43668,3,2624.382
07/01/2006,43668,4,20.746
07/01/2006,43668,4,115.3616
07/01/2006,43668,4,1427.592
07/01/2006,43668,4,1677.8356
07/01/2006,43668,6,173.0424
07/01/2006,43668,6,1103.6292
07/01/2006,43668,6,2516.7534
07/01/2006,43668,6,5248.764
07/01/2006,43668,7,2936.2123
07/01/2006,43669,1,714.7043
07/01/2006,43670,1,5.7
07/01/2006,43670,1,2024.994
07/01/2006,43670,2,11.4
07/01/2006,43670,2,4079.988
07/01/2006,43671,1,20.1865
07/01/2006,43671,1,28.8404
07/01/2006,43671,1,874.794
07/01/2006,43671,1,2146.962
07/01/2006,43671,2,57.6808
07/01/2006,43671,2,713.796
07/01/2006,43671,2,838.9178
07/01/2006,43671,2,1749.588
07/01/2006,43672,1,2039.994
07/01/2006,43672,2,4049.988
07/01/2006,43672,6,34.2
07/01/2006,43673,1,5.1865
07/01/2006,43673,1,20.1865
07/01/2006,43673,1,183.9382
07/01/2006,43673,1,419.4589
07/01/2006,43673,1,874.794
07/01/2006,43673,2,40.373
07/01/2006,43673,2,357.1616
07/01/2006,43673,2,838.9178
07/01/2006,43673,3,86.5212
07/01/2006,43673,4,80.746
07/01/2006,43674,3,2624.382
07/01/2006,43675,1,20.1865
07/01/2006,43675,1,874.794
07/01/2006,43675,2,10.373
07/01/2006,43675,2,357.1616
07/01/2006,43675,2,838.9178
07/01/2006,43675,2,1749.588
07/01/2006,43675,3,86.5212
07/01/2006,43675,4,1677.8356
07/01/2006,43675,5,100.9325
07/01/2006,43676,1,5.7
07/01/2006,43676,2,4049.988
07/01/2006,43676,3,6074.982
07/01/2006,43676,4,22.8
07/01/2006,43677,1,20.1865
07/01/2006,43677,1,419.4589
07/01/2006,43677,1,874.794
